TABLE_NAME 表中文名称
J_LP_OPERATE_MAIN 变电倒闸操作票表
J_LP_OPERATE_SUB 配电线路倒闸操作票子表
T_YJ_DWYJ_BTDJHLDDZY 不停电接火率带电作业数据表
T_YJ_DWYJ_JH_TDSQD_GLB 检修计划停电申请单关联表
T_YJ_DWYJ_LPTX_CZPRW 操作票任务表
T_YJ_DWYJ_LPTX_CZPWB 操作票文本表
T_YDZY_BZDB_BDYWDW 移动作业变电对标变电运维班跟pms组织机构关联表
T_YJ_DWYJ_LP_CZPCZNR 两票-操作票操作内容表
T_YHGL_YHJL_FJ 隐患记录附件表
Z05HR_BZLH_GLPJRW 班组绩效管理-关联评价任务表
T_DDJC_ZNYC_QS_SB 气室与设备关联关系表
EPGIS_QUOTA_LOG 图形服务指标计算日志表
PROMODIFYLOG 营配设备属性修改日志表
T_DW_SBLXZH 设备类型转换表
T_KZSX_KX 扩展属性-馈线表
T_KZSX_KX_LOG 扩展属性-馈线表-日志表
T_TX_DYSB_DYDL 低压电缆表
T_TX_DYSB_DYDLD 低压电缆段表
T_TX_DYSB_DYDLFZX 电缆分支箱表
T_TX_DYSB_DYDLHGQ 低压电流互感器表
T_TX_DYSB_DYDLZDT 低压电缆终端头表
T_TX_DYSB_DYDLZJJT 低压电缆中间接头表
T_TX_DYSB_DYDRQ 低压电容器表
T_TX_DYSB_DYDX 低压导线表
T_TX_DYSB_DYDXD 低压导线段表
T_TX_DYSB_DYDX_XG 修改表_低压导线表
T_TX_DYSB_DYGLKG 低压站内隔离开关表
T_TX_DYSB_DYJD 低压接地表
T_TX_DYSB_DYKG 低压开关表
T_TX_DYSB_DYMX 低压母线表
T_TX_DYSB_DYRS 低压熔丝表
T_TX_DYSB_DYWGBCX 低压无功补偿箱表
T_TX_DYSB_DYWLG 低压物理杆表
T_TX_DYSB_DYXL 低压线路表
T_TX_DYSB_DYYHJRD 低压用户接入点表
T_TX_DYSB_DYYHJRD_K 低压用户接入点表
T_TX_DYSB_DYYXGT 低压运行杆塔表
T_TX_DYSB_DYZNDLJT 低压站内电缆接头表
T_TX_DYSB_DYZNLJX 低压站内连接线表
T_TX_DYSB_DYZNQTSB 低压站内其他设备表
T_TX_DYSB_DYZSGLKG 低压柱上隔离开关表
T_TX_DYSB_DYZSKG 低压柱上开关表
T_TX_DYSB_DYZSRDQ 低压柱上熔断器表
T_TX_DYSB_DYZWCLJX 低压站外超连接线表
T_TX_DYSB_DYZWLJX 低压站外连接线表
T_TX_DYSB_QZJ 低压墙支架表
T_TX_ECPG_BHP 二次屏柜_保护屏表
T_TX_ECPG_FZBJ 二次屏柜_辅助标记表
T_TX_ECYB_FZBJ 二次压板 -辅助标记 表
T_TX_ECYB_FZX 二次压板 -辅助线 表
T_TX_ECYB_KQKG 二次压板 -空气开关 表
T_TX_ECYB_PGBJ 二次压板 -屏柜背景 表
T_TX_ECYB_QHKG 二次压板 -切换开关 表
T_TX_ECYB_YB 二次压板 -压板 表
T_TX_GGSS_BZP 标志牌表
T_TX_GGSS_DLG 电缆沟表
T_TX_GGSS_DLGD 电缆管道表
T_TX_GGSS_DLQ 电缆桥表
T_TX_GGSS_DLSD 电缆隧道表
T_TX_GGSS_DLSYD 电缆示意点表
T_TX_GGSS_DLZM 电缆直埋表
T_TX_GGSS_FZBJ 辅助标记表
T_TX_GGSS_FZX 辅助线表
T_TX_GGSS_GDJM 管道截面表
T_TX_GGSS_GJ 工井表
T_TX_GGSS_JCDL_DL 基础地理-道路表
T_TX_GGSS_JCDL_DLZXX 基础地理-道路中心线表
T_TX_GGSS_JCDL_JM 居民地表
T_TX_GGSS_MSDY 埋设单元表
T_TX_GGSS_XZQJ_SJ 行政区界-省界表
T_TX_GGSS_ZZ 站址表
T_TX_GG_DWZRQ 单位责任区表
T_TX_GG_ZRQ 责任区表
T_TX_TXSS_GLD 通信-光缆段表
T_TX_TXSS_GLXL 通信-光缆线路表
T_TX_TXSS_JTH 通信-光缆接头盒表
T_TX_TXSS_ZD 通信-站点表
T_TX_TXSS_ZJGT 通信-自建杆塔表
T_TX_YXSB_CDSS 用电-充电设施表
T_TX_YXSB_FBSDY 用电-分布式电源表
T_TX_YXSB_FWWD 用电-营业网点表
T_TX_YXSB_GDQY 用电-供电区域表
T_TX_YXSB_GYDJ 用电-高压电机表
T_TX_YXSB_GYYHD 用电-高压用户点表
T_TX_YXSB_JLG 用电-计量柜表
T_TX_YXSB_JLKF 用电-计量库房表
T_TX_YXSB_JLX 用电-计量箱柜表
T_TX_YXSB_XNBX 用电-虚拟表箱表
T_TX_YXSB_ZDSB 用电-终端设备表
T_TX_ZLSB_DRQ 直流电容器表
T_TX_ZLSB_HLB 直流换流变表
T_TX_ZLSB_HLF 直流换流阀表
T_TX_ZLSB_PBDKQ 直流平波电抗器表
T_TX_ZLSB_ZLBLQ 直流避雷器表
T_TX_ZLSB_ZLCQTG 直流穿墙套管表
